"ID","LABEL","ADDRESS","PHONE","SCHOOLNO","WWW","EMAIL","FAX","SCHOOL_TYPE","BUILDDATE","ELDERATE","GIS_X","GIS_Y"
"170","Boruzele","Latviu g. 40, Vilnius","275 3219, 275 0545,","190021721",,"rastine@boruzele.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","zveryno","580336","6062719"
"171","zaliakalnio","Pergales g. 22, LT-11203 Vilnius","267 1626,","191713231",,"rastine@zaliakalnio.vilnius.lm.lt","2672508, 2672508","Valstybinis darzelis","2013-11-01","Naujosios Vilnios","591084","6062066"
"181","Volunge","Volunges g. 10, Vilnius","271 0582,","191713046",,"rastine@volunge.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Antakalnio","585007","6063735"
"186","Giliukas","Ozo g. 37","270 5075","302716948",,"rastine@giliukas.vilnius.lm.lt","---","Valstybinis darzelis","2012-03-01","Fabijoniskiu","580073","6063931"
"188","Lazdynu vid. m-kla","Liudvinavo g. 128, Vilnius","852445158(m-la), 852641910(darzelis)","190005489",,"rastine@lazdynu.vilnius.lm.lt","865081026, darbo 864563207","Valstybinis darzelis","1968-06-01","Lazdynu","572930","6055966"
"189","Vi Mazasis Trinapolis mok. 550 Lt.","Trinapolio g. 11","867089392","15",,"info@mazasistrinapolis.lt",,"Privatus darzelis","2012-10-17","Visos seniunijos","583013","6066065"
"273","Santariskiu","Santariskiu g.","2112335","0",,"rastine@santariskiu.vilnius.lm.lt",,"Valstybinis darzelis","2015-01-12","Verkiu","0","0"
"280","Vilnios pagrindine mokykla","Palydovu g. 29a","2672985","1",,"administracija@v3im.viko.lt","2672985","Valstybinis darzelis","1961-04-01","Naujosios Vilnios","0","0"
"283","„Atzalyno” mokykla-darzelis","Geniu g. 25","2671 934","191665861",,"direktore@atzalyno.vilnius.lm.lt",,"Valstybinis darzelis","2014-09-01","Naujosios Vilnios","0","0"
"311","Naujininku mokykla","saltkalviu g. 32","(8 5) 216 6366","190007344",,"rastine@naujininku.vilnius.lm.lt","(8 5) 216 6362","Valstybinis darzelis","1996-10-16","Naujininku","0","0"
"315","VMSA testuojamas darzelis","Konstitucijos pr. 3, Vilnius","1","1",,,,"Valstybinis darzelis","2009-10-09","snipiskiu","0","0"
"316","VMSA testuojamas pensionas","Baltasis Skersgatvis 3, Vilnius 01207","2121578","190997946","www.dcsviesa.lt","dcsviesa@takas.lt","2122172","Pensionas","1992-09-22","Senamiescio","0","0"
"317","Dienos centras sviesa","Baltasis Skersgatvis 3, Vilnius 01207","2121578","190997946","www.dcsviesa.lt","dcsviesa@takas.lt","2122172","Pensionas","1992-06-24","Senamiescio","0","0"
"324","Baltupiu progimnazija","Didlaukio g. 23","(8-5)2778345","190000894",,"rastine@baltupiu.vilnius.lm.lt","(8-5)2778345","Valstybinis darzelis","1979-12-16","Verkiu","0","0"
"327","azuolas","zirmunu g. 32","2 11 2074","190020214",,"rastine@azuolas.vilnius.lm.lt",,"Valstybinis darzelis","1986-10-26","zirmunu","0","0"
"333","_Pranciskaus Skorinos gimnazija","Antakalnio g. 108, Vilnius","-","191722390",,"rastine@skorinos.vilnius.lm.lt",,"Valstybinis darzelis","1960-01-01","Visos seniunijos","0","0"
"337","_Vilniaus Salininku gimnazija","VAIKu G. 16","-","191317118",,"-",,"Valstybinis darzelis","1960-01-01","Naujininku","0","0"
"338","_Vilniaus Spindulio pagrindine mokykla","R. Jankausko 17","-","190006242",,"rastine@spindulio.vilnius.lm.lt",,"Valstybinis darzelis","1960-01-01","Naujosios Vilnios","0","0"
